episode,run0,run1,run2,run3,run4
91,-90.21920142566294,-94.80575627711704,-88.28977000765659,-93.96380420969253,-85.77567786461834
92,-86.4664627743523,-97.70530513689131,-88.84570310372341,-91.95918734398329,-93.67213239166182
93,-76.0735999635511,-86.87945114333112,-79.33106337753485,-89.53099765939712,-84.94555007451275
94,-99.20196576914924,-73.11850894091054,-86.22121395599423,-87.18267520670018,-70.93883260307018
95,-92.63700778909252,-76.53087847202745,-92.86825278928116,-86.39498737405931,-76.36153982157136
96,-71.39862222219453,-99.09134570492098,-105.36329977411292,-86.65962285868254,-82.40503784594821
97,-86.43584077247314,-93.35256241374672,-77.56594858952512,-79.61407020550084,-90.57444527404769
98,-87.29689077974278,-86.82448405946306,-88.87678487962816,-86.07311406815847,-81.1377307834486
99,-78.95834803656116,-95.52579650821845,-77.55784975469506,-86.96184228235049,-72.29499993483394
100,-85.1019950578906,-83.01065133545828,-94.2765267428806,-91.4852808803493,-86.99046460150073
101,-92.49711415758756,-93.95707465331861,-91.15453957657724,-79.46289046591875,-80.38987767851127
102,-82.67523387073554,-92.06708469085974,-85.139449209936,-94.7573006368243,-77.12059446139848
103,-90.14567811686581,-87.62377371029034,-82.04016110387727,-90.95940526088805,-79.51293128107646
104,-90.48992051722286,-76.8525396355757,-82.54043571646321,-71.8668030480247,-69.38129174865418
105,-85.74629815019169,-78.11350744543887,-81.51870617208203,-78.27800716190478,-93.87634270934605
106,-99.8942927105637,-84.65322521304957,-77.57955633237286,-97.07084342473787,-92.83639223026098
107,-88.44095560822167,-89.87273409380576,-80.2902583757149,-88.56851254325329,-100.44022460092522
108,-84.54224059598519,-66.41002491732003,-90.96728594480011,-75.9888305554049,-97.41481281170618
109,-93.10436025953871,-86.84004558575114,-94.34886834267395,-81.95354078960379,-84.53668127589573
110,-95.16543590892114,-71.04966140153421,-91.21346411300473,-97.76907189413397,-88.49895761597912
111,-96.9591943788418,-84.05323544445413,-95.42563913178292,-81.18188768366204,-97.90014078277002
112,-96.26718066284897,-84.04869939194452,-90.47980072534632,-95.40076395350245,-76.63294171587489
113,-98.09382667248379,-84.7216115452537,-91.5765486261955,-86.24324643214294,-72.15933320991172
114,-100.31283542571377,-82.49796084288216,-87.6044801848191,-93.70564278791257,-88.71309629445797
115,-99.52283852259082,-84.7904671785364,-92.96276468490153,-94.33622420408598,-75.9782409136055
116,-91.13460238723162,-84.01407793263846,-88.07671801036705,-84.86406455449567,-88.77051614043609
117,-92.44233100958456,-83.78528128396776,-97.09835712666873,-76.38822699463987,-82.02655304067166
118,-84.16383504181508,-75.90736791658746,-81.90174671433267,-86.61625656034705,-69.52000253140018
119,-80.7931903654729,-80.66330690711673,-82.83168876161226,-83.70547951032893,-87.5260719206563
120,-90.81151473247532,-74.68305828142036,-70.89125344824232,-93.46210391121254,-81.42471248528086
121,-97.5782854372157,-89.4551990000816,-76.51629740000166,-92.05530673034228,-98.3690566299883
122,-89.45840711903412,-89.85312638865022,-87.74065523515871,-90.95781109530283,-84.30880862349979
123,-93.76539872580673,-73.56822819874527,-87.13804534091955,-81.0662414710431,-83.91109206879642
124,-80.66062942121783,-90.3677729823382,-84.27407578608374,-77.21273164557549,-85.78878521185713
125,-83.12395905617666,-80.9148853439392,-83.83231423020716,-92.25018191671369,-88.28829207787747
126,-103.2416083843377,-82.74907691654896,-92.76081466495543,-90.26940421093155,-84.4078525860096
127,-98.90858837108911,-73.31261069313507,-96.14175471490998,-75.83400724107238,-92.93468231829772
128,-78.95167580473097,-81.00401804246926,-94.21828514157438,-90.58861624658444,-93.1553782910576
129,-101.61781378583784,-81.37010585514133,-81.93729257912581,-87.50944257819462,-99.4544463458249
130,-91.21793108544682,-76.69151052927282,-92.68756612486288,-83.80876084888936,-93.97506265976291
131,-104.01358821775669,-85.58320100590754,-89.32208736011137,-88.37397315375439,-96.50239840336447
