episode,run0,run1,run2,run3,run4
364,110.0,58.0,16.0,392.0,83.0
365,230.0,15.0,186.0,12.0,152.0
366,249.0,22.0,5.0,16.0,74.0
367,57.0,89.0,110.0,54.0,49.0
368,135.0,67.0,105.0,2.0,128.0
369,3.0,137.0,6.0,10.0,130.0
370,143.0,80.0,31.0,145.0,31.0
371,60.0,268.0,138.0,93.0,38.0
372,93.0,62.0,77.0,81.0,71.0
373,87.0,140.0,237.0,212.0,26.0
374,98.0,7.0,43.0,66.0,47.0
375,72.0,66.0,77.0,69.0,110.0
376,21.0,61.0,64.0,93.0,193.0
377,229.0,101.0,41.0,98.0,51.0
378,163.0,40.0,134.0,65.0,211.0
379,115.0,76.0,124.0,249.0,338.0
380,18.0,4.0,96.0,22.0,62.0
381,9.0,41.0,153.0,112.0,34.0
382,140.0,38.0,169.0,49.0,23.0
383,43.0,58.0,96.0,76.0,68.0
384,19.0,10.0,50.0,65.0,63.0
385,98.0,49.0,101.0,55.0,116.0
386,93.0,27.0,56.0,33.0,128.0
387,141.0,44.0,74.0,7.0,242.0
388,62.0,33.0,127.0,41.0,143.0
389,10.0,49.0,132.0,19.0,72.0
390,137.0,132.0,82.0,47.0,343.0
391,50.0,188.0,52.0,40.0,90.0
392,130.0,166.0,48.0,40.0,109.0
393,402.0,169.0,82.0,23.0,67.0
394,138.0,63.0,90.0,37.0,53.0
395,118.0,196.0,2.0,40.0,62.0
396,139.0,102.0,32.0,46.0,60.0
397,56.0,386.0,46.0,64.0,6.0
398,132.0,202.0,67.0,44.0,56.0
399,15.0,171.0,89.0,55.0,84.0
400,50.0,256.0,92.0,45.0,134.0
401,6.0,340.0,39.0,65.0,48.0
402,41.0,264.0,56.0,56.0,40.0
403,46.0,75.0,48.0,61.0,52.0
404,61.0,64.0,68.0,3.0,120.0
405,9.0,16.0,24.0,72.0,41.0
406,46.0,11.0,10.0,280.0,131.0
407,42.0,53.0,143.0,261.0,81.0
408,4.0,14.0,111.0,283.0,63.0
409,3.0,8.0,137.0,143.0,196.0
410,17.0,129.0,77.0,53.0,48.0
411,4.0,217.0,94.0,7.0,283.0
412,50.0,54.0,158.0,143.0,203.0
413,42.0,183.0,72.0,380.0,251.0
414,41.0,81.0,77.0,199.0,85.0
415,60.0,144.0,57.0,119.0,78.0
416,54.0,52.0,229.0,74.0,49.0
417,45.0,78.0,128.0,109.0,51.0
418,53.0,6.0,184.0,4.0,51.0
419,24.0,136.0,146.0,31.0,16.0
420,65.0,206.0,56.0,111.0,9.0
421,63.0,215.0,56.0,44.0,4.0
422,194.0,193.0,4.0,168.0,115.0
423,298.0,182.0,7.0,201.0,123.0
424,354.0,167.0,8.0,11.0,137.0
425,117.0,109.0,54.0,4.0,89.0
426,93.0,47.0,51.0,15.0,23.0
427,191.0,63.0,44.0,51.0,104.0
428,81.0,50.0,100.0,48.0,126.0
429,84.0,65.0,152.0,99.0,298.0
430,52.0,93.0,167.0,118.0,9.0
431,88.0,49.0,75.0,160.0,101.0
432,260.0,69.0,178.0,124.0,320.0
433,69.0,5.0,169.0,76.0,29.0
434,396.0,149.0,169.0,318.0,26.0
435,100.0,166.0,111.0,32.0,13.0
436,101.0,20.0,50.0,210.0,147.0
437,471.0,55.0,117.0,95.0,265.0
438,151.0,54.0,129.0,104.0,12.0
439,199.0,168.0,157.0,104.0,68.0
440,43.0,20.0,175.0,267.0,68.0
441,60.0,49.0,117.0,43.0,59.0
442,7.0,15.0,155.0,100.0,34.0
443,118.0,48.0,61.0,230.0,4.0
444,199.0,162.0,87.0,56.0,62.0
445,73.0,298.0,65.0,54.0,5.0
446,5.0,54.0,26.0,18.0,52.0
447,20.0,72.0,203.0,47.0,55.0
448,58.0,6.0,143.0,43.0,174.0
449,5.0,244.0,131.0,15.0,46.0
450,4.0,86.0,101.0,23.0,59.0
451,10.0,192.0,33.0,13.0,113.0
452,50.0,119.0,105.0,57.0,138.0
453,16.0,231.0,54.0,121.0,87.0
454,50.0,15.0,148.0,24.0,57.0
455,65.0,44.0,204.0,323.0,75.0
456,107.0,302.0,117.0,32.0,57.0
457,216.0,16.0,90.0,63.0,226.0
458,348.0,8.0,118.0,103.0,439.0
459,44.0,167.0,62.0,214.0,206.0
460,3.0,108.0,4.0,40.0,55.0
461,63.0,110.0,68.0,5.0,77.0
462,46.0,19.0,82.0,70.0,136.0
463,57.0,63.0,36.0,50.0,167.0
464,52.0,31.0,20.0,183.0,104.0
465,48.0,93.0,132.0,231.0,81.0
466,64.0,55.0,53.0,44.0,128.0
467,62.0,56.0,46.0,20.0,50.0
468,62.0,51.0,103.0,165.0,99.0
469,45.0,51.0,42.0,168.0,211.0
470,84.0,66.0,12.0,19.0,129.0
471,421.0,2.0,46.0,33.0,52.0
472,73.0,17.0,33.0,48.0,86.0
473,26.0,2.0,70.0,56.0,56.0
474,53.0,9.0,77.0,74.0,42.0
475,248.0,56.0,66.0,20.0,54.0
476,181.0,65.0,37.0,83.0,134.0
477,70.0,8.0,105.0,281.0,48.0
478,230.0,59.0,203.0,128.0,151.0
479,24.0,3.0,64.0,289.0,89.0
480,21.0,10.0,3.0,63.0,43.0
481,72.0,80.0,216.0,195.0,44.0
482,315.0,452.0,321.0,34.0,3.0
483,217.0,324.0,236.0,261.0,775.0
484,51.0,98.0,38.0,10.0,148.0
485,43.0,7.0,185.0,192.0,92.0
486,42.0,56.0,69.0,169.0,165.0
487,45.0,5.0,233.0,100.0,273.0
488,34.0,48.0,26.0,84.0,204.0
489,40.0,57.0,78.0,71.0,62.0
490,41.0,25.0,173.0,55.0,97.0
491,41.0,55.0,140.0,52.0,124.0
492,10.0,44.0,64.0,23.0,53.0
493,42.0,58.0,51.0,32.0,64.0
494,45.0,57.0,86.0,61.0,65.0
495,3.0,232.0,139.0,71.0,71.0
496,5.0,56.0,79.0,36.0,8.0
497,52.0,61.0,17.0,58.0,48.0
498,5.0,4.0,39.0,39.0,31.0
499,39.0,53.0,102.0,4.0,148.0
500,48.0,16.0,126.0,3.0,30.0
501,54.0,53.0,75.0,14.0,30.0
502,65.0,2.0,330.0,3.0,74.0
503,56.0,617.0,38.0,114.0,100.0
504,54.0,52.0,51.0,209.0,272.0
505,60.0,133.0,50.0,93.0,94.0
506,829.0,73.0,11.0,56.0,156.0
507,44.0,674.0,7.0,112.0,100.0
508,3.0,80.0,160.0,78.0,19.0
509,47.0,61.0,6.0,232.0,53.0
510,11.0,417.0,156.0,79.0,189.0
511,3.0,445.0,235.0,58.0,11.0
512,52.0,291.0,71.0,64.0,49.0
513,50.0,44.0,94.0,63.0,374.0
514,3.0,58.0,297.0,408.0,71.0
515,66.0,82.0,58.0,170.0,329.0
516,35.0,22.0,170.0,66.0,68.0
517,58.0,110.0,100.0,21.0,169.0
518,53.0,170.0,106.0,59.0,10.0
519,255.0,44.0,172.0,166.0,52.0
520,104.0,253.0,190.0,459.0,35.0
521,97.0,60.0,91.0,111.0,255.0
522,48.0,75.0,48.0,27.0,90.0
523,144.0,84.0,158.0,170.0,179.0
524,168.0,52.0,128.0,35.0,15.0
525,24.0,50.0,108.0,38.0,10.0
